Number,Name,Created,Revised
1,Introduction,"October 27, 2025 8:36 PM",3
2,Relational Model,"October 27, 2025 10:09 PM",2
3,Rules of E.F.Codd,"October 28, 2025 10:20 AM",2
4,Data Types,"October 28, 2025 10:20 AM",2
5,Constraints,"October 28, 2025 10:21 AM",2
6,Statements,"October 28, 2025 10:22 AM",2
7,Data Query Language(DQL),"October 28, 2025 10:22 AM",2
8,SQL CLAUSES,"October 28, 2025 10:23 AM",2
9,EXPRESSIONS,"October 28, 2025 10:24 AM",2
10,Alias,"October 28, 2025 10:24 AM",2
11,Distinct,"October 28, 2025 10:24 AM",2
12,Where Clouse,"October 28, 2025 10:25 AM",2
13,Operators,"October 28, 2025 10:26 AM",2
14,Logical Operators,"October 28, 2025 10:26 AM",1
15,Special Operatos,"October 28, 2025 10:27 AM",1
16,Concatination,"October 28, 2025 10:27 AM",1
17,Function,"October 28, 2025 10:28 AM",1
18,Group By Clouse,"October 28, 2025 10:28 AM",1
19,Having Clouse,"October 28, 2025 10:29 AM",1
20,Order By Clouse,"October 28, 2025 10:29 AM",1
21,SubQueries,"October 28, 2025 10:30 AM",1
22,Types Of Subquery,"October 29, 2025 10:22 AM",1
23,SUBQUERY OPERATORS,"October 29, 2025 1:21 PM",1
24,Psudo Column,"October 30, 2025 1:37 PM",1
25,Employ Manager Relationship,"October 31, 2025 2:52 PM",1
26,Single Row Functions,"November 4, 2025 2:42 PM",1
27,JOINS,"November 10, 2025 2:06 PM",1
28,CARTASION/CROSS JOIN,"November 10, 2025 2:14 PM",1
29,INNER JOIN,"November 10, 2025 2:50 PM",1
30,SELF JOIN,"November 13, 2025 1:26 PM",1
31,OUTER JOIN,"November 17, 2025 2:22 PM",1
32,Union,"November 18, 2025 2:37 PM",1
33,Natural Join,"November 18, 2025 2:39 PM",1
34,ASSIGNMENT-SUBQUERY(20),"November 10, 2025 3:01 PM",1
35,ASSIGNMENT-JOINS(10),"November 12, 2025 3:23 PM",1
36,DDL (Data Definition Language),"November 15, 2025 1:40 PM",1
37,DML (Data Manipulation Language),"November 15, 2025 3:58 PM",1
38,TCL (Transaction Control Language),"November 17, 2025 10:37 AM",1
39,DCL (Data Control Language),"November 17, 2025 10:38 AM",1
40,UPDATE Statement,"November 18, 2025 2:36 PM",1
