Name,Created,Number,Revised
Introduction,"October 27, 2025 8:36 PM",1,3
Relational Model,"October 27, 2025 10:09 PM",2,2
Rules of E.F.Codd,"October 28, 2025 10:20 AM",3,2
Data Types,"October 28, 2025 10:20 AM",4,2
Constraints,"October 28, 2025 10:21 AM",5,2
Statements,"October 28, 2025 10:22 AM",6,2
Data Query Language(DQL),"October 28, 2025 10:22 AM",7,2
SQL CLAUSES,"October 28, 2025 10:23 AM",8,2
EXPRESSIONS,"October 28, 2025 10:24 AM",9,2
Alias,"October 28, 2025 10:24 AM",10,2
Distinct,"October 28, 2025 10:24 AM",11,2
Where Clouse,"October 28, 2025 10:25 AM",12,2
Operators,"October 28, 2025 10:26 AM",13,2
Logical Operators,"October 28, 2025 10:26 AM",14,1
Special Operatos,"October 28, 2025 10:27 AM",15,1
Concatination,"October 28, 2025 10:27 AM",16,1
Function,"October 28, 2025 10:28 AM",17,1
Group By Clouse,"October 28, 2025 10:28 AM",18,1
Having Clouse,"October 28, 2025 10:29 AM",19,1
Order By Clouse,"October 28, 2025 10:29 AM",20,1
SubQueries,"October 28, 2025 10:30 AM",21,1
Types Of Subquery,"October 29, 2025 10:22 AM",22,1
SUBQUERY OPERATORS,"October 29, 2025 1:21 PM",23,1
Psudo Column,"October 30, 2025 1:37 PM",24,1
Employ Manager Relationship,"October 31, 2025 2:52 PM",25,1
Single Row Functions,"November 4, 2025 2:42 PM",26,1
JOINS,"November 10, 2025 2:06 PM",27,1
CARTASION/CROSS JOIN,"November 10, 2025 2:14 PM",28,1
INNER JOIN,"November 10, 2025 2:50 PM",29,1
ASSIGNMENT-SUBQUERY(20),"November 10, 2025 3:01 PM",34,1
ASSIGNMENT-JOINS(10),"November 12, 2025 3:23 PM",35,1
SELF JOIN,"November 13, 2025 1:26 PM",30,1
DDL (Data Definition Language),"November 15, 2025 1:40 PM",36,1
DML (Data Manipulation Language),"November 15, 2025 3:58 PM",37,1
TCL (Transaction Control Language),"November 17, 2025 10:37 AM",38,1
DCL (Data Control Language),"November 17, 2025 10:38 AM",39,1
OUTER JOIN,"November 17, 2025 2:22 PM",31,1
UPDATE Statement,"November 18, 2025 2:36 PM",40,1
Union,"November 18, 2025 2:37 PM",32,1
Natural Join,"November 18, 2025 2:39 PM",33,1
